dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_bank-marketing,hyperfast,tabicl,784,512,0.12443900345296785,-0.04994981363415718,1.190593957901001
tabarena_blood-transfusion-service-center,hyperfast,tabicl,784,512,0.5496828237559278,0.272950142621994,0.9629450440406799
tabarena_churn,hyperfast,tabicl,784,512,0.42352602912985443,0.07322143763303757,0.9421469569206238
tabarena_coil2000_insurance_policies,hyperfast,tabicl,784,512,0.19902179520077107,-0.09499841928482056,0.9520770907402039
tabarena_credit-g,hyperfast,tabicl,784,512,0.08192742535664298,-0.09316239506006241,1.2365028858184814
tabarena_credit_card_clients_default,hyperfast,tabicl,784,512,0.3766701422680405,-0.31803444027900696,0.937959611415863
tabarena_customer_satisfaction_in_airline,hyperfast,tabicl,784,512,0.049717136017137474,0.06863179802894592,1.2772637605667114
tabarena_diabetes,hyperfast,tabicl,784,512,0.09616790485693158,-0.02596796490252018,1.1242189407348633
tabarena_hazelnut-spread-contaminant-detection,hyperfast,tabicl,784,512,0.4964834084346279,-0.3050978183746338,0.8835262060165405
tabarena_heloc,hyperfast,tabicl,784,512,0.4404732531561285,-0.09604089707136154,0.9419175386428833
tabarena_hiva_agnostic,hyperfast,tabicl,784,512,0.6590840803736076,-0.16559970378875732,0.643758237361908
tabarena_in_vehicle_coupon_recommendation,hyperfast,tabicl,784,512,0.1585770180487371,0.08865004777908325,1.1615962982177734
tabarena_jm1,hyperfast,tabicl,784,512,0.5275636812026817,-0.3924025595188141,0.8881655931472778
tabarena_kddcup09_appetency,hyperfast,tabicl,784,512,0.5013059400543444,-0.20417743921279907,0.874700129032135
tabarena_maternal_health_risk,hyperfast,tabicl,784,512,0.09672186833565062,0.033008016645908356,1.1939456462860107
tabarena_online_shoppers_intention,hyperfast,tabicl,784,512,0.3407948552012925,0.267358660697937,0.958530604839325
tabarena_polish_companies_bankruptcy,hyperfast,tabicl,784,512,0.39063214919290445,0.36884263157844543,0.9409410953521729
tabarena_qsar-biodeg,hyperfast,tabicl,784,512,0.2362397294726788,0.15129826962947845,1.0002875328063965
tabarena_seismic-bumps,hyperfast,tabicl,784,512,0.13863817802838632,0.20641858875751495,1.127274751663208
tabarena_splice,hyperfast,tabicl,784,512,0.22182627201533486,-0.02030067890882492,0.9592642784118652
tabarena_students_dropout_and_academic_success,hyperfast,tabicl,784,512,0.09068429141421516,0.007663118652999401,1.1002705097198486
tabarena_taiwanese_bankruptcy_prediction,hyperfast,tabicl,784,512,0.07764769852948815,-0.007447556126862764,1.1421345472335815
tabarena_website_phishing,hyperfast,tabicl,784,512,0.26383687963735275,-0.04628441855311394,0.9152730107307434
tabarena_APSFailure,hyperfast,tabpfn,784,192,0.12696008735019773,0.1717461794614792,1.095500111579895
tabarena_Amazon_employee_access,hyperfast,tabpfn,784,192,0.18323203979196437,0.15887998044490814,1.0728671550750732
tabarena_Bank_Customer_Churn,hyperfast,tabpfn,784,192,0.25411078058722936,0.18972302973270416,1.0700881481170654
tabarena_Bioresponse,hyperfast,tabpfn,784,192,0.5686878806002523,-0.3851221799850464,0.7750955820083618
tabarena_Diabetes130US,hyperfast,tabpfn,784,192,0.09114403390104096,0.03577600419521332,1.1483078002929688
tabarena_E-CommereShippingData,hyperfast,tabpfn,784,192,0.24012381273765432,0.5289695858955383,0.970643937587738
tabarena_Fitness_Club,hyperfast,tabpfn,784,192,0.5124477345810712,-0.44922778010368347,0.791401207447052
tabarena_GiveMeSomeCredit,hyperfast,tabpfn,784,192,0.035977170359899224,-0.03581448644399643,1.275460124015808
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,hyperfast,tabpfn,784,192,0.07493341893280692,0.17876917123794556,1.1871917247772217
tabarena_Is-this-a-good-customer,hyperfast,tabpfn,784,192,0.062187600225505395,0.07296457141637802,1.2216376066207886
tabarena_MIC,hyperfast,tabpfn,784,192,0.1048641292239014,-0.15643617510795593,1.1312897205352783
tabarena_Marketing_Campaign,hyperfast,tabpfn,784,192,0.042503298538213746,-0.08124280720949173,1.2642590999603271
tabarena_NATICUSdroid,hyperfast,tabpfn,784,192,0.6700025963084036,-0.16584369540214539,0.6727758646011353
tabarena_QSAR-TID-11,hyperfast,tabpfn,784,192,0.41207333373791777,0.04269075393676758,0.8882440328598022
tabarena_SDSS17,hyperfast,tabpfn,784,192,0.028934958660585562,-0.059160199016332626,1.2792283296585083
tabarena_anneal,hyperfast,tabpfn,784,192,0.07357328741580411,-0.028723131865262985,1.1979256868362427
tabarena_bank-marketing,hyperfast,tabpfn,784,192,0.08605588062654097,0.02380521222949028,1.2171807289123535
tabarena_blood-transfusion-service-center,hyperfast,tabpfn,784,192,0.28292712050472535,0.24768999218940735,1.0180470943450928
tabarena_churn,hyperfast,tabpfn,784,192,0.4841277084798458,0.1516171246767044,0.8883872628211975
tabarena_coil2000_insurance_policies,hyperfast,tabpfn,784,192,0.14574872544056502,-0.11223103851079941,1.040285587310791
tabarena_credit-g,hyperfast,tabpfn,784,192,0.07161366577252885,-0.1343284547328949,1.237984299659729
tabarena_credit_card_clients_default,hyperfast,tabpfn,784,192,0.1612009276781602,0.005667850840836763,1.057076096534729
tabarena_customer_satisfaction_in_airline,hyperfast,tabpfn,784,192,0.01548852609612102,0.006876413244754076,1.325089931488037
tabarena_diabetes,hyperfast,tabpfn,784,192,0.1337320728498698,-0.09488832205533981,1.0845645666122437
tabarena_hazelnut-spread-contaminant-detection,hyperfast,tabpfn,784,192,0.2830356257012139,-0.20472396910190582,0.9841565489768982
tabarena_heloc,hyperfast,tabpfn,784,192,0.22322600615832805,-0.22175973653793335,1.0026862621307373
tabarena_hiva_agnostic,hyperfast,tabpfn,784,192,0.29433624886531823,-0.00014961630222387612,0.949665904045105
tabarena_in_vehicle_coupon_recommendation,hyperfast,tabpfn,784,192,0.03510954307326232,0.07961919158697128,1.2460546493530273
tabarena_jm1,hyperfast,tabpfn,784,192,0.15848676033130413,-0.15645475685596466,1.0930784940719604
tabarena_kddcup09_appetency,hyperfast,tabpfn,784,192,0.29801707093015367,-0.14071112871170044,1.021365761756897
tabarena_maternal_health_risk,hyperfast,tabpfn,784,192,0.1325565742614474,0.13440372049808502,1.1407910585403442
tabarena_online_shoppers_intention,hyperfast,tabpfn,784,192,0.20732307875958633,0.2283136248588562,1.063781499862671
tabarena_polish_companies_bankruptcy,hyperfast,tabpfn,784,192,0.2570720794391709,-0.24160432815551758,1.0525177717208862
tabarena_qsar-biodeg,hyperfast,tabpfn,784,192,0.3209285110200414,-0.2725938558578491,0.9287301301956177
tabarena_seismic-bumps,hyperfast,tabpfn,784,192,0.13202662331705783,0.23839937150478363,1.1294159889221191
tabarena_splice,hyperfast,tabpfn,784,192,0.3227097322029911,-0.12953288853168488,0.9675687551498413
tabarena_students_dropout_and_academic_success,hyperfast,tabpfn,784,192,0.10150496548496679,0.15887831151485443,1.1076472997665405
tabarena_taiwanese_bankruptcy_prediction,hyperfast,tabpfn,784,192,0.08592273552392643,-0.06822215765714645,1.1639517545700073
tabarena_website_phishing,hyperfast,tabpfn,784,192,0.39145410152699184,-0.005239284597337246,0.8679015636444092
tabarena_APSFailure,mitra,tabicl,512,512,0.8596219323738338,0.005946088582277298,0.47082045674324036
tabarena_Amazon_employee_access,mitra,tabicl,512,512,0.6663214498105815,0.03014499694108963,0.6591408252716064
tabarena_Another-Dataset-on-used-Fiat-500,mitra,tabicl,512,512,0.7405835426588737,-0.0480131059885025,0.8110228180885315
tabarena_Bank_Customer_Churn,mitra,tabicl,512,512,0.7310867791338777,0.016717564314603806,0.6398313641548157
tabarena_Bioresponse,mitra,tabicl,512,512,0.5707149085452025,0.032881345599889755,0.7613557577133179
tabarena_Diabetes130US,mitra,tabicl,512,512,0.6154847279363301,0.02963758446276188,0.7163395285606384
tabarena_E-CommereShippingData,mitra,tabicl,512,512,0.9771475000428528,0.022044606506824493,0.3116360008716583
tabarena_Fitness_Club,mitra,tabicl,512,512,0.7852112491063534,0.029824160039424896,0.5701540112495422
tabarena_Food_Delivery_Time,mitra,tabicl,512,512,0.4709110439959456,-0.03643214330077171,0.8659011125564575
tabarena_GiveMeSomeCredit,mitra,tabicl,512,512,0.9077315093659003,0.023192714899778366,0.4793100655078888
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,mitra,tabicl,512,512,0.7070358411113545,0.032416827976703644,0.6230508089065552
tabarena_Is-this-a-good-customer,mitra,tabicl,512,512,0.7717451619596364,0.02921871654689312,0.6432746648788452
tabarena_MIC,mitra,tabicl,512,512,0.8743009559474518,0.019369417801499367,0.4733189344406128
tabarena_Marketing_Campaign,mitra,tabicl,512,512,0.3965321296249925,0.020345166325569153,0.8302485942840576
tabarena_NATICUSdroid,mitra,tabicl,512,512,0.9225961933128337,0.02731778845191002,0.37140482664108276
tabarena_QSAR_fish_toxicity,mitra,tabicl,512,512,0.5790144913154343,-0.013193763792514801,0.7633963823318481
tabarena_SDSS17,mitra,tabicl,512,512,0.682553358324634,-0.006086433306336403,0.6083565354347229
tabarena_airfoil_self_noise,mitra,tabicl,512,512,0.4943386652977365,-0.026097388938069344,0.7989858984947205
tabarena_anneal,mitra,tabicl,512,512,0.45263952513695316,0.04765484482049942,0.709811270236969
tabarena_bank-marketing,mitra,tabicl,512,512,0.6951358202972879,0.01986110396683216,0.7044899463653564
tabarena_blood-transfusion-service-center,mitra,tabicl,512,512,0.6858765244607335,0.025027090683579445,0.6489555239677429
tabarena_churn,mitra,tabicl,512,512,0.8296451316315213,0.00562261464074254,0.5119883418083191
tabarena_coil2000_insurance_policies,mitra,tabicl,512,512,0.6372016014339625,0.03169150650501251,0.7462339401245117
tabarena_concrete_compressive_strength,mitra,tabicl,512,512,0.4236174263582837,-0.03609352186322212,0.9042728543281555
tabarena_credit-g,mitra,tabicl,512,512,0.7672436077587274,0.03133126348257065,0.6241452097892761
tabarena_credit_card_clients_default,mitra,tabicl,512,512,0.5520564915641532,0.029596734791994095,0.6301239728927612
tabarena_customer_satisfaction_in_airline,mitra,tabicl,512,512,0.24716984328977468,0.02038036659359932,0.904714822769165
tabarena_diabetes,mitra,tabicl,512,512,0.5792369410648346,0.03561814874410629,0.6826633214950562
tabarena_diamonds,mitra,tabicl,512,512,0.7449044448791894,-0.04611686244606972,0.7667073011398315
tabarena_hazelnut-spread-contaminant-detection,mitra,tabicl,512,512,0.7247727664488237,0.020882420241832733,0.594329297542572
tabarena_healthcare_insurance_expenses,mitra,tabicl,512,512,0.26244401246991667,-0.043400656431913376,0.9958103895187378
tabarena_heloc,mitra,tabicl,512,512,0.4409781600868671,0.037070710211992264,0.719934344291687
tabarena_hiva_agnostic,mitra,tabicl,512,512,0.8176180504656754,0.007905839011073112,0.7853463888168335
tabarena_houses,mitra,tabicl,512,512,0.7733729027512882,-0.009714321233332157,0.6443176865577698
tabarena_in_vehicle_coupon_recommendation,mitra,tabicl,512,512,0.47519847040178786,0.02930874191224575,0.7789707779884338
tabarena_jm1,mitra,tabicl,512,512,0.8563561423081439,0.02734614536166191,0.47496700286865234
tabarena_kddcup09_appetency,mitra,tabicl,512,512,0.8096889446962228,0.031231239438056946,0.6636348366737366
tabarena_maternal_health_risk,mitra,tabicl,512,512,0.37444409885286256,-0.006928160320967436,0.8287820816040039
tabarena_miami_housing,mitra,tabicl,512,512,0.5791026236356875,-0.06488551944494247,0.7804301977157593
tabarena_online_shoppers_intention,mitra,tabicl,512,512,0.9577833556118082,0.017572129145264626,0.3675386607646942
tabarena_physiochemical_protein,mitra,tabicl,512,512,0.7615394036149934,-0.017161469906568527,0.6498530507087708
tabarena_polish_companies_bankruptcy,mitra,tabicl,512,512,0.7970442719477547,0.02167026698589325,0.520524263381958
tabarena_qsar-biodeg,mitra,tabicl,512,512,0.45848953129234804,0.02661839872598648,0.7864577174186707
tabarena_seismic-bumps,mitra,tabicl,512,512,0.9283571894089564,0.02677796594798565,0.43058910965919495
tabarena_splice,mitra,tabicl,512,512,0.4903759418548839,0.024382470175623894,0.7674680948257446
tabarena_students_dropout_and_academic_success,mitra,tabicl,512,512,0.571517984213081,-0.010635820217430592,0.642758846282959
tabarena_superconductivity,mitra,tabicl,512,512,0.4512173610490302,-0.02017972432076931,0.8943433165550232
tabarena_taiwanese_bankruptcy_prediction,mitra,tabicl,512,512,0.9357090502987248,0.008650322444736958,0.38627204298973083
tabarena_website_phishing,mitra,tabicl,512,512,0.6800313913697714,0.004519210662692785,0.5860158801078796
tabarena_wine_quality,mitra,tabicl,512,512,0.23266943867100123,-0.008068671450018883,0.89771568775177
tabarena_APSFailure,mitra,tabpfn,512,192,0.8380255264575496,0.6281734108924866,0.552381694316864
tabarena_Amazon_employee_access,mitra,tabpfn,512,192,0.5107328290584259,0.28008008003234863,0.8073351979255676
tabarena_Bank_Customer_Churn,mitra,tabpfn,512,192,0.870050052262673,0.6408497095108032,0.4684313237667084
