dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_E-CommereShippingData,carte,mitra,300,512,0.8565412897178515,0.7070258259773254,0.547603964805603
tabarena_Fitness_Club,carte,mitra,300,512,0.5540871439986561,0.33820152282714844,0.7913686037063599
tabarena_Food_Delivery_Time,carte,mitra,300,512,0.1180063532709185,0.09434713423252106,1.133156180381775
tabarena_GiveMeSomeCredit,carte,mitra,300,512,0.6087132857591775,0.4794044494628906,0.807455837726593
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,carte,mitra,300,512,0.6122815903788199,0.460760235786438,0.8057799935340881
tabarena_Is-this-a-good-customer,carte,mitra,300,512,0.5255230204028457,0.4892687201499939,0.8535260558128357
tabarena_MIC,carte,mitra,300,512,0.3735403945257747,0.34389859437942505,0.9400393962860107
tabarena_Marketing_Campaign,carte,mitra,300,512,0.3855550801237856,0.3605394661426544,0.9459234476089478
tabarena_NATICUSdroid,carte,mitra,300,512,0.5786649500664046,-0.39952006936073303,0.7735764980316162
tabarena_QSAR_fish_toxicity,carte,mitra,300,512,0.3298775955329552,0.1263093799352646,0.9282256364822388
tabarena_SDSS17,carte,mitra,300,512,0.6203071862034767,-0.4039462208747864,0.7050758600234985
tabarena_airfoil_self_noise,carte,mitra,300,512,0.08249931305083921,-0.04903266951441765,1.1534514427185059
tabarena_anneal,carte,mitra,300,512,0.13931557223724989,0.13291829824447632,1.0926891565322876
tabarena_bank-marketing,carte,mitra,300,512,0.45074371917928024,-0.09953346103429794,0.9298747777938843
tabarena_blood-transfusion-service-center,carte,mitra,300,512,0.2925952826275443,0.01053338311612606,0.9005296230316162
tabarena_churn,carte,mitra,300,512,0.6043601326685261,0.4078870415687561,0.8454359769821167
tabarena_coil2000_insurance_policies,carte,mitra,300,512,0.3677755165699596,0.2799209654331207,1.020497441291809
tabarena_concrete_compressive_strength,carte,mitra,300,512,0.11054838979884661,0.12429479509592056,1.1017756462097168
tabarena_credit-g,carte,mitra,300,512,0.677759953732341,0.5151309967041016,0.8271719813346863
tabarena_credit_card_clients_default,carte,mitra,300,512,0.4245539199528293,-0.2932049036026001,0.8849494457244873
tabarena_customer_satisfaction_in_airline,carte,mitra,300,512,0.6853654794954843,0.5298435688018799,0.748231053352356
tabarena_diabetes,carte,mitra,300,512,0.5507699777436968,-0.3645390272140503,0.8485820293426514
tabarena_diamonds,carte,mitra,300,512,0.6736965539058986,0.5186736583709717,0.7171409130096436
tabarena_hazelnut-spread-contaminant-detection,carte,mitra,300,512,0.6423584530723522,0.5180174112319946,0.7631316781044006
tabarena_healthcare_insurance_expenses,carte,mitra,300,512,0.14743069012523244,0.0871669203042984,1.0793564319610596
tabarena_heloc,carte,mitra,300,512,0.7923157676660846,0.5214295387268066,0.6960168480873108
tabarena_hiva_agnostic,carte,mitra,300,512,0.17713460403259612,0.1514330506324768,1.1156539916992188
tabarena_houses,carte,mitra,300,512,0.44342546746099526,-0.26697152853012085,0.874594509601593
tabarena_in_vehicle_coupon_recommendation,carte,mitra,300,512,0.3977282798213286,0.33569735288619995,0.9617178440093994
tabarena_jm1,carte,mitra,300,512,0.814215217065009,0.7230594754219055,0.6445713043212891
tabarena_kddcup09_appetency,carte,mitra,300,512,0.04824091573525868,0.02086346596479416,1.2240926027297974
tabarena_maternal_health_risk,carte,mitra,300,512,0.15132471688516216,0.13684985041618347,1.1118500232696533
tabarena_miami_housing,carte,mitra,300,512,0.16197783343414557,-0.15131182968616486,1.0541846752166748
tabarena_online_shoppers_intention,carte,mitra,300,512,0.7915937836985887,0.4374147653579712,0.6258623003959656
tabarena_physiochemical_protein,carte,mitra,300,512,0.2988350755672031,0.060176774859428406,0.9831445813179016
