model_a,model_b,n_datasets,cka_mean,cka_std,cosine_mean,cosine_std,procrustes_mean,procrustes_std
hyperfast,mitra,39,0.2522064660282496,0.2018619253954416,0.004162857786585123,0.2205624339607592,1.0344124084863908,0.1721960716174978
hyperfast,tabicl,40,0.250502299328838,0.19125247127005388,-0.007613120716996491,0.19510576100307736,1.0418934285640717,0.16984369950026065
hyperfast,tabpfn,39,0.20785539607683504,0.16026372356494167,-0.012544100084013712,0.1913829831356389,1.067431926727295,0.14999846722566956
mitra,tabicl,50,0.6549273977837775,0.194049757476619,0.009135378999635577,0.02659298101160951,0.6685542953014374,0.15828656590127174
mitra,tabpfn,41,0.8127471387125422,0.14143738251596033,0.3616811242408869,0.321759926110952,0.5425645352863684,0.1389173928322224
tabicl,tabpfn,42,0.6368592083400293,0.1869626150758727,0.2151906732469797,0.28239585566629105,0.6822539766629537,0.1393142644906161
