donor,feat,dataset,recipient,n_rows,row,a_start,a_final,suppression_frac,n_cols_changed,n_suppressors,n_repairs,ablate_x1e3,patch_x1e3,patch_columns
tabdpt,18,GiveMeSomeCredit,mitra,5,64,0.9463129639625549,0.0,1.0,1,1,0,0.10132789611816406,0.14215707778930664,age
tabdpt,18,maternal_health_risk,mitra,7,61,2.143568277359009,1.3657469749450684,0.36286285378894395,1,1,0,-0.9288787841796875,-0.037670135498046875,HeartRate
tabdpt,184,students_dropout_and_academic_success,mitra,5,161,1.7492274045944214,0.0,1.0,5,1,4,3.1967759132385254,3.1971335411071777,Curricular_units_2nd_sem_enrolled|Curricular_units_2nd_sem_credited|GDP|Fathers_occupation|Unemployment_rate
tabdpt,184,Amazon_employee_access,mitra,3,42,2.935910701751709,1.2454805374145508,0.5757771049809397,4,4,0,-28.40423583984375,-87.5614881515503,RESOURCE|ROLE_FAMILY_DESC|ROLE_TITLE|ROLE_FAMILY
tabdpt,184,seismic-bumps,mitra,1,140,3.784557580947876,0.0,1.0,6,1,5,-19.1500186920166,-19.051015377044678,ghazard|nbumps3|gdpuls|maxenergy|nbumps2|energy
tabdpt,192,Amazon_employee_access,mitra,6,93,2.6376965045928955,0.0,1.0,1,1,0,0.605463981628418,1.8160343170166016,ROLE_TITLE
tabdpt,192,maternal_health_risk,mitra,1,4,1.6913487911224365,0.0,1.0,5,1,4,-11.15947961807251,-11.168301105499268,Age|DiastolicBP|HeartRate|BodyTemp|BS
tabdpt,22,kddcup09_appetency,mitra,23,30,2.200249433517456,0.0,1.0,6,1,5,-2.6946663856506348,-2.6946663856506348,Var123|Var6|Var57|Var28|Var7|Var113
tabdpt,22,taiwanese_bankruptcy_prediction,mitra,6,163,4.850052833557129,0.0,1.0,7,3,4,-3.2660365104675293,-3.2660365104675293,Debt_Ratio_Percent|DFL|R&D_Expense_Rate|Tax_Rate_A|Regular_Net_Profit_Growth_Rate|ROA_B_Before_Interest_Depreciation_After_Tax|Net_Profit_Before_Tax_Per_Share
tabdpt,22,polish_companies_bankruptcy,mitra,5,82,1.1379598379135132,0.0,1.0,3,1,2,-2.435922622680664,-2.4367570877075195,net_profit_to_total_assets|sales_profit_to_total_assets|long_term_liabilities_to_equity
tabdpt,239,seismic-bumps,mitra,20,92,8.986929893493652,0.0,1.0,6,1,5,-6.348967552185059,-6.348967552185059,nbumps2|seismic|energy|gdpuls|genergy|gpuls
tabdpt,239,Amazon_employee_access,mitra,17,85,2.481022357940674,0.0,1.0,4,1,3,-5.160152912139893,-5.0324201583862305,RESOURCE|MGR_ID|ROLE_FAMILY_DESC|ROLE_FAMILY
tabdpt,239,maternal_health_risk,mitra,4,84,2.109665870666504,0.9416815042495728,0.553634763996031,3,3,0,-71.18469476699829,-38.06203603744507,Age|BodyTemp|BS
tabdpt,250,GiveMeSomeCredit,mitra,3,89,1.8746298551559448,0.0,1.0,3,1,2,-0.9807944297790527,-0.9876489639282227,age|NumberOfDependents|DebtRatio
tabdpt,250,seismic-bumps,mitra,6,183,5.174304008483887,3.925562858581543,0.2413350950881286,2,2,0,2.064526081085205,0.4774332046508789,gpuls|genergy
tabdpt,250,Bank_Customer_Churn,mitra,2,144,5.6206889152526855,0.0,1.0,1,1,0,7.162034511566162,7.206559181213379,estimated_salary
tabdpt,251,GiveMeSomeCredit,mitra,5,60,1.2072505950927734,0.0,1.0,3,1,2,2.23463773727417,2.23463773727417,NumberRealEstateLoansOrLines|age|RevolvingUtilizationOfUnsecuredLines
tabdpt,251,website_phishing,mitra,1,26,7.42918062210083,0.0,1.0,2,1,1,-221.26680612564087,-156.82876110076904,Request_URL|popUpWidnow
tabdpt,272,E-CommereShippingData,mitra,3,110,2.518005847930908,1.1799259185791016,0.5314046154624031,1,1,0,-3.9987266063690186,19.851207733154297,Cost_of_the_Product
tabdpt,272,SDSS17,mitra,2,171,3.9442310333251953,0.0,1.0,3,3,0,-20.612061023712158,-20.612061023712158,g|z|alpha
tabdpt,279,Bank_Customer_Churn,mitra,2,113,2.8842906951904297,2.5488686561584473,0.1162927299912247,2,2,0,-27.05925703048706,-3.055751323699951,age|credit_score
tabdpt,279,seismic-bumps,mitra,4,168,1.328636884689331,0.0,1.0,5,1,4,-5.509078502655029,-5.493819713592529,seismic|gpuls|gdpuls|gdenergy|maxenergy
tabdpt,283,students_dropout_and_academic_success,mitra,2,84,5.2688775062561035,0.0,1.0,5,4,1,-3.2701492309570312,-3.191649913787842,Admission_grade|Curricular_units_2nd_sem_evaluations|Application_order|Unemployment_rate|Curricular_units_1st_sem_grade
tabdpt,283,Amazon_employee_access,tabpfn,11,106,1.7912192344665527,0.0,1.0,1,1,0,0.0,0.08940696716308594,ROLE_TITLE
tabdpt,283,Bank_Customer_Churn,mitra,2,112,1.2989277839660645,0.0,1.0,3,1,2,6.831645965576172,12.140661478042603,age|credit_card|balance
tabdpt,291,heloc,mitra,4,21,3.452115058898926,0.0,1.0,5,2,3,-45.19098997116089,-44.01165246963501,PercentTradesNeverDelq|NumInqLast6M|PercentTradesWBalance|MSinceMostRecentTradeOpen|NetFractionRevolvingBurden
tabdpt,291,blood-transfusion-service-center,tabicl,1,64,5.9234514236450195,0.0,1.0,2,2,0,-17.42488145828247,-18.145382404327393,MonthsSinceLastDonation|TotalBloodDonated
tabdpt,32,seismic-bumps,tabpfn,1,165,9.491364479064941,3.9491069316864014,0.5839263216161461,6,6,0,-33.02931785583496,-17.893493175506592,nbumps2|gdenergy|nbumps|gpuls|maxenergy|genergy
tabdpt,32,jm1,tabpfn,2,143,3.234637498855591,0.0,1.0,6,1,5,55.816829204559326,54.535090923309326,lOBlank|v(g)|t|iv(g)|n|total_Opnd
tabdpt,32,E-CommereShippingData,tabpfn,7,29,3.693678379058838,0.0,1.0,2,2,0,-5.538642406463623,-37.109375,Weight_in_gms|Cost_of_the_Product
tabdpt,320,HR_Analytics_Job_Change_of_Data_Scientists,tabicl,7,30,1.676539421081543,0.0,1.0,3,1,2,-1.7431974411010742,-1.7431974411010742,education_level|experience|training_hours
tabdpt,320,kddcup09_appetency,mitra,6,120,2.6622154712677,0.0,1.0,1,1,0,-8.292973041534424,-8.292973041534424,Var112
tabdpt,320,hazelnut-spread-contaminant-detection,mitra,4,80,4.539763927459717,0.0,1.0,6,2,4,-3.905653953552246,-3.9060115814208984,s45|s16|s43|s24|s56|s32
tabdpt,33,Bank_Customer_Churn,mitra,4,141,2.7444567680358887,0.0,1.0,4,2,2,38.833439350128174,38.70952129364014,estimated_salary|tenure|balance|credit_score
tabdpt,33,Amazon_employee_access,mitra,29,57,2.185279130935669,0.0,1.0,1,1,0,-1.4099478721618652,-4.16409969329834,ROLE_ROLLUP_1
tabdpt,33,E-CommereShippingData,mitra,14,101,2.198704242706299,1.5556070804595947,0.29248916236916933,2,2,0,-23.072421550750732,-6.733119487762451,Weight_in_gms|Customer_care_calls
tabdpt,337,seismic-bumps,mitra,6,129,2.252885341644287,2.100292205810547,0.06773231331975771,2,2,0,-0.6541609764099121,-0.051140785217285156,gdenergy|gpuls
tabdpt,337,Bank_Customer_Churn,mitra,5,99,1.5892220735549927,0.0,1.0,3,1,2,7.295548915863037,7.2942376136779785,credit_card|balance|age
tabdpt,337,HR_Analytics_Job_Change_of_Data_Scientists,mitra,5,112,1.5391110181808472,0.0,1.0,3,2,1,11.347591876983643,11.347591876983643,city|enrolled_university|gender
tabdpt,35,Bank_Customer_Churn,mitra,8,192,2.749185562133789,1.276625633239746,0.5356349710170567,1,1,0,-20.49165964126587,-10.91921329498291,balance
tabdpt,35,E-CommereShippingData,mitra,8,58,2.9332032203674316,0.0,1.0,3,3,0,51.158607006073,89.25110101699829,Prior_purchases|Gender|Discount_offered
tabdpt,35,GiveMeSomeCredit,mitra,6,86,1.7367537021636963,1.5681254863739014,0.09709391468675908,2,2,0,-7.142603397369385,-0.6139278411865234,age|RevolvingUtilizationOfUnsecuredLines
tabdpt,379,seismic-bumps,mitra,7,37,1.387030839920044,0.0,1.0,1,1,0,-1.3782978057861328,-2.743542194366455,gdpuls
tabdpt,379,Amazon_employee_access,mitra,6,46,2.7639360427856445,0.0,1.0,4,2,2,-17.22872257232666,-60.95564365386963,ROLE_FAMILY_DESC|RESOURCE|ROLE_CODE|ROLE_DEPTNAME
tabdpt,38,Amazon_employee_access,mitra,36,177,1.9917361736297607,0.0,1.0,1,1,0,-1.356184482574463,-1.4903545379638672,RESOURCE
tabdpt,38,HR_Analytics_Job_Change_of_Data_Scientists,mitra,7,61,2.2019948959350586,0.0,1.0,2,2,0,3.349423408508301,1.3753771781921387,experience|city
tabdpt,38,GiveMeSomeCredit,mitra,6,154,4.8990631103515625,1.9346346855163574,0.6051010893432794,2,2,0,30.986100435256958,-62.66683340072632,MonthlyIncome|DebtRatio
tabdpt,41,students_dropout_and_academic_success,mitra,8,195,1.6077871322631836,0.0,1.0,1,1,0,-6.8447887897491455,-6.8447887897491455,Application_mode
tabdpt,41,seismic-bumps,mitra,3,7,1.3010932207107544,0.0,1.0,2,2,0,-0.08004903793334961,0.11020898818969727,gdpuls|seismic
tabdpt,41,E-CommereShippingData,mitra,4,55,0.9072076082229614,0.0,1.0,1,1,0,-4.662692546844482,-3.8154125213623047,Cost_of_the_Product
tabdpt,42,HR_Analytics_Job_Change_of_Data_Scientists,mitra,5,134,3.6669278144836426,1.2613228559494019,0.6560273559333715,4,4,0,-25.72929859161377,-13.989746570587158,city_development_index|gender|company_size|experience
